 num     #instances         #bytes  class name (module)
  88:         10002         240048  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.6)
  89:          7439         238048  com.intellij.concurrency.ConcurrentHashMap$Node
  90:          4915         235920  com.intellij.openapi.extensions.impl.XmlExtensionAdapter$SimpleConstructorInjectionAdapter
  91:          7123         227936  java.nio.DirectByteBuffer$Deallocator (java.base@17.0.6)
  92:          2339         224544  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Function
  93:          2523         224192  [Ljava.util.WeakHashMap$Entry; (java.base@17.0.6)
  94:          4665         223920  com.intellij.ui.JBColor
  95:          9323         223752  kotlin.reflect.jvm.internal.impl.protobuf.FieldSet
  96:          5580         223200  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.6)
  97:          5561         222440  java.util.TreeMap$Entry (java.base@17.0.6)
  98:           392         206976  [Ljava.util.concurrent.atomic.AtomicReference; (java.base@17.0.6)
  99:          5155         206200  org.jdom.ContentList
 100:          3664         205184  com.intellij.openapi.actionSystem.Presentation
 101:          3186         203904  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
[...]
Total       9380408      536163416
